id,product,narrative,gpt_4o_prediction,time-gpt-4o,gpt_4o_mini_prediction,time-gpt-4o-mini,claude_3_5_sonnet_prediction,time-claude-3-5-sonnet-latest,claude_3_5_haiku_prediction,time-claude-3-5-haiku-latest,deepseek-chat_prediction,time-deepseek-chat,gemini-2.0-flash_prediction,time-gemini-2.0-flash,gemini-2.0-flash-lite_prediction,time-gemini-2.0-flash-lite,gemini-1.5-pro_prediction,time-gemini-1.5-pro,gemini-1.5-flash_prediction,time-gemini-1.5-flash,claude-3-7-sonnet_prediction,time-claude-3-7-sonnet-latest,gpt-4.5-preview_prediction,time-gpt-4.5-preview-2025-02-27,gpt-o1_prediction,time-o1-2024-12-17,gpt-o3-mini_prediction,time-o3-mini-2025-01-31,deepseek-reasoner_prediction,time-deepseek-reasoner
37,mortgages_and_loans,applied numerous time released loan met requirement release list made payment time married want released loan obviously financially afford loan made payment time absolutely reason continually deny request,mortgages_and_loans,0.6126,mortgages_and_loans,0.6709,mortgages_and_loans,2.1407,mortgages_and_loans,1.7249,mortgages_and_loans,7.3047,mortgages_and_loans,0.7423,mortgages_and_loans,0.644,mortgages_and_loans,0.7019,mortgages_and_loans,0.7012,mortgages_and_loans,0.9051,mortgages_and_loans,1.4546,mortgages_and_loans,3.2553,mortgages_and_loans,5.5094,mortgages_and_loans,19.4426
38,debt_collection,noticed collection account sunrise credit service listed three major credit reporting bureau opening date amount company never followed fcra contacting verify legitimacy debit fact given opportunity listed company would informed knowledge conducting business company binding agreement debt owed directly indirectly company,debt_collection,0.688,debt_collection,1.3729,credit_reporting,2.2337,debt_collection,2.0402,credit_reporting,11.4109,debt_collection,0.7995,debt_collection,0.7047,debt_collection,0.7083,debt_collection,0.599,credit_reporting,0.8929,debt_collection,1.6795,debt_collection,9.915,debt_collection,4.2799,debt_collection,24.3505
39,retail_banking,venmo account went website transfer balance website deactivated try log phone app say server error seems got app show recent transaction show account balance deleted app reloaded work either tried call venmo taking call time way leave message filled email request help received automated email reply suggested article address issue going venmo keeping money please help confront venmo get money,retail_banking,0.6487,credit_card,0.9244,retail_banking,1.5332,retail_banking,1.7639,retail_banking,7.8707,retail_banking,0.8042,retail_banking,0.6121,retail_banking,0.6134,retail_banking,0.7935,retail_banking,1.0089,retail_banking,1.6531,retail_banking,2.5097,retail_banking,5.4067,retail_banking,21.0733
40,credit_card,placed order using store financing account approved opened order placed indefinitely delayed unable get update filled due arrive week ago allow cancel offering financing hard inquiry credit report filling order harmful credit additional line open use,retail_banking,0.7784,retail_banking,1.2036,credit_reporting,2.8489,retail_banking,0.7056,retail_banking,51.7023,credit_card,0.8085,credit_card,0.6834,retail_banking,0.6761,retail_banking,0.7116,credit_reporting,0.8032,credit_reporting,1.8164,credit_card,9.1266,credit_reporting,5.8206,mortgages_and_loans,46.5712
41,credit_reporting,writing due transunion failed remove information affiliated personal detail challenged past strongly believe violation fcra outright refusing uphold law,credit_reporting,0.6394,credit_reporting,1.0163,credit_reporting,2.1385,credit_reporting,1.4827,credit_reporting,21.293,credit_reporting,0.8045,credit_reporting,0.7012,credit_reporting,0.7039,credit_reporting,0.5925,credit_reporting,0.699,credit_reporting,1.819,credit_reporting,3.136,credit_reporting,1.7198,credit_reporting,32.5428
42,credit_card,couldnt pay account full called nordstrom visa request consideration remove monthly interest charge due financial hardship brought pandemic received positive response removed made partial payment account unfortunately received new statement interest charge still account additional interest charge give total interest charge alone called informed nordstrom visa doesnt remove interest charge even basis covid crisis,credit_card,0.6716,credit_card,0.7899,credit_card,1.438,credit_card,1.9318,credit_card,7.2379,credit_card,0.5784,credit_card,0.6,credit_card,0.8029,credit_card,0.7023,credit_card,0.8014,credit_card,1.4169,credit_card,6.464,credit_card,1.9265,credit_card,20.6636
43,credit_reporting,received acknowledged dispute transunion requesting validation proof contract show account mine collection agency refused send proof verification want item removed account immediately bank depart veteran affair department veterens affair department veteran affair also asked proof late payment told account verified never sent proof men account want payment history updated paid time,credit_reporting,0.7035,debt_collection,0.7542,credit_reporting,1.7114,credit_reporting,1.7304,credit_reporting,37.2372,credit_reporting,0.826,credit_reporting,0.585,credit_reporting,0.8035,credit_reporting,0.5993,credit_reporting,0.8012,credit_reporting,1.3049,credit_reporting,4.7759,credit_reporting,8.5813,credit_reporting,27.118
44,retail_banking,applying pa care act small busniess wirh account pnc im told cant link account receive funding,retail_banking,0.7105,retail_banking,0.9819,retail_banking,1.8272,retail_banking,1.7543,retail_banking,33.0466,retail_banking,0.9071,retail_banking,0.6153,retail_banking,0.6997,retail_banking,0.6969,retail_banking,0.799,retail_banking,1.1717,retail_banking,5.2053,retail_banking,2.4354,retail_banking,35.3114
45,credit_reporting,decided get credit pulled due bill received mail never heard place immediately suspected identity theft reviewed report caught surprise couple derogatory item never opened life thing listed application mine please remove unknown item report contacted ftc local police behalf please remove report company inquiry,credit_reporting,0.6575,credit_reporting,0.728,credit_reporting,2.7553,credit_reporting,1.8024,credit_reporting,7.056,credit_reporting,0.9065,credit_reporting,0.7547,credit_reporting,0.7041,credit_reporting,0.8021,credit_reporting,0.6992,credit_reporting,1.5629,credit_reporting,5.6703,credit_reporting,2.7836,credit_reporting,17.1833
46,credit_reporting,sent previous dispute got response send verification document submitting filing complaint pulled copy credit report noticed several fraudulent account contacted federal trade commission filed complaint contacted consumer finance protection bureau please block remove information credit report send updated copy credit report following item belong result fraud authorize,credit_reporting,0.554,credit_reporting,1.0026,credit_reporting,2.3429,credit_reporting,2.6487,credit_reporting,12.0757,credit_reporting,0.7022,credit_reporting,0.7529,credit_reporting,2.029,credit_reporting,0.7004,credit_reporting,0.9028,credit_reporting,1.8167,credit_reporting,2.5984,credit_reporting,2.507,credit_reporting,51.0793
47,retail_banking,dear sir suntrust caused issue accountable related monthly fee impacted please pull call history see representative closed money market inform would cause fee checking account relied expertise misinformed request courtesy money market opened correct mistake ongoing monthly credit simply link checking trust account avoid fee could avoided thank much time,retail_banking,0.711,retail_banking,0.7988,retail_banking,1.8542,retail_banking,1.8254,retail_banking,48.5522,retail_banking,3.7751,retail_banking,0.5995,retail_banking,0.6078,retail_banking,0.8041,retail_banking,0.8031,retail_banking,1.203,retail_banking,2.5211,retail_banking,2.9087,retail_banking,15.3387
48,mortgages_and_loans,chrysler capital received check pay included pdf pay amount good said check cashed account showed past due payment previously put stop payment checking account prevent chrysler capital debiting account called customer service representative stated give hour max close account called monday friday account showing past due payment account show pay,mortgages_and_loans,0.7263,debt_collection,0.8091,mortgages_and_loans,2.1319,debt_collection,2.0354,mortgages_and_loans,41.8749,mortgages_and_loans,0.6233,mortgages_and_loans,0.5997,mortgages_and_loans,0.6649,mortgages_and_loans,0.6422,mortgages_and_loans,0.9089,debt_collection,1.7368,mortgages_and_loans,5.1063,mortgages_and_loans,12.4888,mortgages_and_loans,22.7097
49,debt_collection,checked credit report today major derogatory account noted amount consumer adjustment say say account opened interaction opening account medical service date idea tried calling number consumer adjustment co got voice mail info consumer adjustment co mo hit credit score brought point even mine please help,credit_reporting,0.7036,credit_reporting,0.8114,credit_reporting,2.2297,credit_reporting,1.9462,credit_reporting,21.8831,credit_reporting,0.6056,credit_reporting,0.5988,credit_reporting,0.7282,credit_reporting,0.7097,credit_reporting,0.9061,credit_reporting,6.6223,credit_reporting,5.7604,credit_reporting,2.6675,credit_reporting,19.8533
50,retail_banking,basically got scammed completely action taken company matter much screen shot proof showed explains happen problem end action ever telling next time make sure know person definitely even trying make transaction using cash app first place person whome supposed receive money even cash app,retail_banking,0.8951,debt_collection,0.6024,retail_banking,3.1597,credit_card,1.6115,retail_banking,5.2194,retail_banking,0.6757,retail_banking,0.7011,retail_banking,0.6145,debt_collection,0.6209,retail_banking,0.9075,retail_banking,1.7098,retail_banking,3.1119,retail_banking,5.103,retail_banking,40.9343
51,debt_collection,received copy credit report found account belong,credit_reporting,0.7091,credit_reporting,0.7714,credit_reporting,2.5488,credit_reporting,1.7139,credit_reporting,20.0612,credit_reporting,0.9072,credit_reporting,0.714,credit_reporting,0.7885,credit_reporting,0.7377,credit_reporting,0.7968,credit_reporting,1.5261,credit_reporting,3.3128,credit_reporting,2.131,credit_reporting,26.0914
52,retail_banking,louisiana louisiana exact invested stock bond baled put saving k saw someone took k put saving bond merlin lynch signed m louisiana address signed major real state owner took advantage opportunity letting merrill lynch year signed role date birth social listed someone changed name thats yall settlement case contacted never leave state information signed file cabinet lived address also uncle gave also share assist mr texas louisiana separate also package exact,retail_banking,0.6014,debt_collection,1.3598,retail_banking,2.2428,retail_banking,1.8441,credit_reporting,9.1042,mortgages_and_loans,0.7448,retail_banking,0.6904,retail_banking,0.7003,retail_banking,0.6911,retail_banking,0.8046,retail_banking,2.1232,retail_banking,4.633,retail_banking,8.938,credit_reporting,18.7148
53,credit_reporting,trying trade vehicle newer model told salesman could make trade asked gave explanation pulled credit many unknown suspicious item familiar many inquiry made name believe someone stolen identity need thing deleted credit report immediately already taken action prevent anyone else trying open anything else social security,credit_reporting,0.8185,credit_reporting,1.3206,credit_reporting,1.7492,credit_reporting,1.7231,credit_reporting,5.5253,credit_reporting,0.63,credit_reporting,0.598,credit_reporting,0.8069,credit_reporting,0.8026,credit_reporting,0.708,credit_reporting,1.8193,credit_reporting,2.7883,credit_reporting,3.4324,credit_reporting,29.5753
54,debt_collection,say fiance owes payday loan pay credit card phone going put stop registration vehicle county live keep changing amount owed license plate file keep calling,debt_collection,0.7082,debt_collection,0.6732,debt_collection,2.1095,debt_collection,1.4233,debt_collection,17.1966,debt_collection,0.7333,debt_collection,0.6004,debt_collection,0.6987,debt_collection,0.8011,debt_collection,0.7922,debt_collection,1.51,debt_collection,6.38,debt_collection,5.5903,debt_collection,35.7161
